Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
10,0.1,0.6,[0 1 0 1 1 0 1 1 1 0 1 1],0.8,0.7183333333333334,0.04621808207954017,[1 1 1 0 1 0 1 0 0 0 0 0],0.6166666666666667
10,0.1,0.75,[1 0 0 0 1 1 0 1 0 1 0 1],0.7833333333333333,0.6866666666666666,0.049888765156985884,[1 1 0 1 0 0 0 0 1 1 0 0],0.6166666666666667
10,0.1,0.9,[1 1 0 0 1 0 0 0 0 0 1 1],0.8,0.6649999999999999,0.1086405899182151,[0 0 0 1 0 1 1 0 0 1 0 0],0.43333333333333335
10,0.15,0.6,[0 0 0 1 1 0 1 1 1 1 0 1],0.7833333333333333,0.7083333333333334,0.049581582602145034,[1 1 0 1 1 0 1 0 0 0 0 0],0.6166666666666667
10,0.15,0.75,[0 1 0 1 1 1 1 1 1 0 1 1],0.7833333333333333,0.7083333333333334,0.038908725099762516,[1 1 1 0 1 0 1 0 1 1 0 0],0.6333333333333333
10,0.15,0.9,[0 0 1 1 1 0 0 1 0 1 1 1],0.8166666666666667,0.655,0.05965176722724426,[1 1 1 0 0 1 1 0 0 1 0 0],0.5833333333333334
10,0.2,0.6,[0 0 0 1 1 0 1 1 1 1 0 1],0.8,0.6783333333333333,0.0610327780786685,[0 0 0 1 1 1 1 0 1 0 0 0],0.5833333333333334
10,0.2,0.75,[0 0 0 1 1 0 1 1 1 1 0 1],0.8,0.6933333333333334,0.04163331998932265,[1 0 1 1 0 0 0 0 0 0 0 0],0.6166666666666667
10,0.2,0.9,[0 0 0 0 1 1 1 1 1 1 1 1],0.8166666666666667,0.7283333333333334,0.037305048809332324,[1 1 0 1 1 0 1 0 1 1 1 0],0.6666666666666666
20,0.1,0.6,[0 0 0 0 1 1 0 0 0 0 0 1],0.8166666666666667,0.6666666666666667,0.08416254115301729,[0 1 1 0 1 0 0 0 0 1 0 0],0.5333333333333333
20,0.1,0.75,[0 0 0 0 1 1 0 0 1 0 0 1],0.8166666666666667,0.6875,0.07224091638399945,[0 1 1 0 0 0 1 0 0 0 0 0],0.5
20,0.1,0.9,[0 0 0 0 1 0 1 0 1 0 0 1],0.8333333333333334,0.7033333333333334,0.06271629240742259,[0 0 0 1 0 0 1 0 0 0 0 0],0.5166666666666667
20,0.15,0.6,[0 1 0 1 1 0 1 1 1 0 1 1],0.8,0.6849999999999999,0.05107184482014854,[0 0 1 1 1 0 1 0 0 1 1 0],0.5666666666666667
20,0.15,0.75,[1 0 1 0 1 1 0 1 0 1 1 1],0.8,0.6849999999999999,0.06300352723811932,[0 0 1 0 0 1 1 0 0 0 1 0],0.5333333333333333
20,0.15,0.9,[0 0 1 0 1 0 1 1 1 0 1 1],0.7833333333333333,0.7125,0.0547405496663833,[1 1 0 1 0 0 1 0 0 1 0 0],0.5833333333333334
20,0.2,0.6,[0 0 0 0 1 1 0 0 1 0 1 1],0.8,0.7033333333333334,0.05666666666666667,[0 0 0 1 0 0 0 0 0 1 1 0],0.5666666666666667
20,0.2,0.75,[0 1 0 0 1 0 1 0 1 0 1 1],0.8,0.7108333333333334,0.07037104044515281,[0 0 1 1 0 0 0 0 1 1 1 0],0.5333333333333333
20,0.2,0.9,[1 0 0 1 1 1 0 1 0 1 1 1],0.7833333333333333,0.6758333333333332,0.059037417513528374,[0 1 1 0 0 1 0 0 1 1 1 0],0.5333333333333333
30,0.1,0.6,[0 1 0 0 1 0 0 0 1 1 1 1],0.8,0.6783333333333332,0.04984234403857086,[1 0 0 0 0 0 0 0 1 1 0 0],0.5666666666666667
30,0.1,0.75,[0 0 0 0 1 0 0 0 1 0 1 1],0.8166666666666667,0.6738888888888889,0.06662267066782583,[0 1 1 1 0 0 1 0 0 0 0 0],0.5333333333333333
30,0.1,0.9,[0 1 0 0 1 1 0 1 0 1 0 1],0.8,0.6988888888888888,0.058203559349816865,[0 0 0 1 0 1 1 0 0 1 1 0],0.48333333333333334
30,0.15,0.6,[0 0 0 1 1 1 0 0 1 0 1 1],0.8166666666666667,0.6661111111111111,0.07116534390305092,[1 1 1 0 0 1 0 0 0 1 0 0],0.5333333333333333
30,0.15,0.75,[0 0 1 0 0 0 1 1 1 0 0 1],0.8,0.687222222222222,0.049941323595486885,[1 1 1 0 1 0 1 0 0 0 1 0],0.5833333333333334
30,0.15,0.9,[0 0 0 1 1 0 0 1 1 0 0 1],0.8,0.6844444444444445,0.0670728367679403,[0 0 1 1 0 0 0 0 1 1 1 0],0.5166666666666667
30,0.2,0.6,[1 0 1 1 1 1 0 1 1 1 0 1],0.8,0.6605555555555556,0.07703814992073652,[0 0 1 1 0 0 0 0 0 1 0 0],0.48333333333333334
30,0.2,0.75,[0 1 0 0 1 1 1 1 1 0 1 1],0.8166666666666667,0.6872222222222223,0.05158296685084915,[1 1 0 1 0 0 1 0 0 0 1 0],0.55
30,0.2,0.9,[0 0 0 0 1 0 0 1 1 1 0 1],0.8166666666666667,0.6722222222222223,0.06587492825680727,[0 0 1 0 0 1 0 0 0 1 1 0],0.55
