Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
10,0.1,0.6,[0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0],0.9862975391498882,0.9786073825503354,0.004982417950819442,[1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0],0.9664429530201343
10,0.1,0.75,[0 1 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1],0.9848993288590604,0.9805089485458612,0.002575289288555435,[1 0 0 0 0 1 0 0 0 1 1 0 1 1 1 0 0],0.9753914988814317
10,0.1,0.9,[0 0 1 0 0 0 1 0 1 1 1 0 1 1 1 1 1],0.9862975391498882,0.9809284116331097,0.0017588574041964454,[0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 1],0.9790268456375839
10,0.15,0.6,[0 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1],0.9868568232662193,0.9802572706935123,0.00454398984271802,[0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0],0.9697986577181208
10,0.15,0.75,[0 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1],0.9862975391498882,0.9823545861297538,0.002499474442903664,[0 0 0 0 0 1 1 0 0 0 1 1 0 1 1 0 0],0.9784675615212528
10,0.15,0.9,[1 0 1 1 1 1 0 0 1 0 1 1 1 0 1 1 1],0.9865771812080537,0.9835570469798659,0.002232937894594753,[1 0 0 0 0 0 1 0 0 1 0 1 1 1 0 1 0],0.9793064876957495
10,0.2,0.6,[1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0],0.9860178970917226,0.9779082774049218,0.00616735962062203,[0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 0 1],0.9675615212527964
10,0.2,0.75,[1 0 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1],0.9862975391498882,0.9818232662192393,0.0030428345657126303,[1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1],0.9748322147651006
10,0.2,0.9,[0 1 0 0 0 1 0 1 0 1 1 1 1 1 1 1 0],0.9862975391498882,0.9817114093959731,0.003988601639748413,[1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0],0.9711968680089486
20,0.1,0.6,[0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 1 0],0.985738255033557,0.9809563758389264,0.0033555881784393905,[1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0],0.9711968680089486
20,0.1,0.75,[1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0],0.9860178970917226,0.9817393736017896,0.0020167214465439246,[0 0 0 1 1 1 0 1 0 1 0 0 0 1 0 0 1],0.9773489932885906
20,0.1,0.9,[1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 1 0],0.9862975391498882,0.981907158836689,0.002714257157728783,[0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 1 0],0.9748322147651006
20,0.15,0.6,[1 1 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0],0.9862975391498882,0.9820749440715882,0.003047841870859876,[1 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 0],0.9742729306487695
20,0.15,0.75,[1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0],0.9848993288590604,0.980900447427293,0.002638286106294679,[0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0],0.9728747203579419
20,0.15,0.9,[0 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 0],0.9862975391498882,0.9819770693512304,0.004486904533834258,[0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1],0.9681208053691275
20,0.2,0.6,[0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1],0.9860178970917226,0.9807746085011184,0.0046279493348965455,[1 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0],0.9675615212527964
20,0.2,0.75,[0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0],0.985738255033557,0.9834032438478747,0.0019013089542026108,[1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 1],0.9779082774049217
20,0.2,0.9,[1 0 1 1 0 1 1 1 0 1 0 1 0 0 1 1 1],0.9862975391498882,0.9808724832214765,0.00435416244388186,[0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0],0.9706375838926175
30,0.1,0.6,[0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1],0.9854586129753915,0.9821868008948546,0.0024143870577461937,[0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0],0.9767897091722595
30,0.1,0.75,[0 1 1 0 1 1 1 0 0 1 0 0 1 1 1 1 0],0.9860178970917226,0.9801360924683071,0.006924923390890475,[0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0],0.9507829977628636
30,0.1,0.9,[0 1 0 1 0 0 0 1 1 1 1 1 1 1 0 1 0],0.9860178970917226,0.9818978374347501,0.003573101404570585,[0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0],0.968400447427293
30,0.15,0.6,[1 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 1],0.9865771812080537,0.9798937360178971,0.005782282837459528,[0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1],0.9633668903803132
30,0.15,0.75,[0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1],0.9868568232662193,0.9818046234153617,0.003678069766346149,[1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1],0.9695190156599552
30,0.15,0.9,[0 1 0 0 1 1 1 1 0 0 0 1 0 0 0 1 0],0.9862975391498882,0.9784489187173754,0.006864603414088008,[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0],0.9516219239373602
30,0.2,0.6,[0 0 0 1 0 1 1 0 0 0 0 0 1 1 1 1 1],0.9865771812080537,0.9805741983594334,0.0035539365317532375,[0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1],0.9711968680089486
30,0.2,0.75,[1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1 1],0.985738255033557,0.9813944817300521,0.003847650711155183,[0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1],0.9689597315436241
30,0.2,0.9,[1 0 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0],0.9868568232662193,0.9810029828486203,0.005623950269249694,[1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],0.9628076062639821
