Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
10,0.1,0.6,[1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1],0.985178970917226,0.9767058165548098,0.004521302747051645,[0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0],0.9670022371364653
10,0.1,0.75,[0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 1 0],0.9860178970917226,0.9774328859060402,0.004780243581231472,[0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0],0.9678411633109619
10,0.1,0.9,[0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1],0.9860178970917226,0.9803411633109619,0.004177912245122566,[0 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0],0.9723154362416108
10,0.15,0.6,[1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1],0.9860178970917226,0.9821588366890379,0.001380197167701662,[1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 0 0],0.979586129753915
10,0.15,0.75,[1 1 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1],0.9860178970917226,0.980285234899329,0.005494450539619868,[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0],0.9667225950782998
10,0.15,0.9,[1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 0],0.985178970917226,0.9806767337807607,0.0029100246429314787,[0 0 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1],0.9751118568232662
10,0.2,0.6,[1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 0],0.9865771812080537,0.9816834451901567,0.0012583892617449484,[0 1 1 0 1 0 1 1 0 0 1 1 0 0 0 0 1],0.9798657718120806
10,0.2,0.75,[0 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0],0.9854586129753915,0.9773210290827741,0.007804418575177663,[0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1],0.956096196868009
10,0.2,0.9,[0 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0],0.985738255033557,0.9821868008948546,0.0022993652193145113,[1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 0 0],0.9765100671140939
20,0.1,0.6,[0 1 1 0 1 1 0 1 1 0 1 1 0 0 0 1 1],0.985178970917226,0.9806627516778523,0.0025326911197803685,[1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0],0.9751118568232662
20,0.1,0.75,[0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0],0.9874161073825504,0.9805788590604028,0.004219237112444564,[0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0],0.9686800894854586
20,0.1,0.9,[1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1],0.9862975391498882,0.9807326621923936,0.006441425974114264,[0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0],0.9555369127516778
20,0.15,0.6,[0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1],0.9876957494407159,0.9814597315436242,0.0028450745067126145,[0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1],0.977069351230425
20,0.15,0.75,[1 1 0 1 1 1 1 1 0 0 1 1 1 0 0 1 0],0.9860178970917226,0.9812360178970918,0.00395858990228639,[1 0 0 0 1 0 0 0 0 1 1 1 1 1 0 0 0],0.9711968680089486
20,0.15,0.9,[1 1 0 0 1 1 0 0 0 0 1 1 0 0 1 1 0],0.9862975391498882,0.9812360178970918,0.003261038880130328,[0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0],0.9717561521252797
20,0.2,0.6,[0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1],0.9862975391498882,0.9808864653243846,0.0034986283769495425,[0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0],0.9731543624161074
20,0.2,0.75,[0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 1 0],0.9871364653243848,0.9821728187919465,0.003366029743883142,[1 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0],0.973434004474273
20,0.2,0.9,[1 0 0 0 0 1 0 1 0 1 1 1 0 0 1 1 0],0.985738255033557,0.979991610738255,0.0053757321828434785,[0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0],0.964765100671141
30,0.1,0.6,[1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 0],0.9871364653243848,0.9808724832214766,0.006863337550047191,[0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0],0.9496644295302014
30,0.1,0.75,[0 1 0 0 1 1 1 1 0 1 1 1 0 1 0 1 0],0.9868568232662193,0.9785141685309473,0.004817145042545332,[0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0],0.9644854586129754
30,0.1,0.9,[1 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0],0.9871364653243848,0.979576808351976,0.007319105207852094,[0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0],0.9552572706935123
30,0.15,0.6,[0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0],0.9868568232662193,0.9816275167785234,0.004090906215687487,[0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1],0.9658836689038032
30,0.15,0.75,[0 1 0 0 1 1 1 0 1 0 1 1 1 1 0 1 0],0.9868568232662193,0.9797818791946308,0.00460697029917138,[0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1],0.968400447427293
